source,layer,state_dim,mean_reject,n
S0,RC2,range,0.0,15
S0,RC2,speed,0.0,27
S0,RC2,course,0.0,10
S0,RC2+CZ,range,0.9333333333333333,15
S0,RC2+CZ,speed,1.0,27
S0,RC2+CZ,course,1.0,10
S0,RC2+Doppler,range,,15
S0,RC2+Doppler,speed,,27
S0,RC2+Doppler,course,,10
S0,RC2+CZ+Doppler,range,0.9333333333333333,15
S0,RC2+CZ+Doppler,speed,1.0,27
S0,RC2+CZ+Doppler,course,1.0,10
S1,RC2,range,0.0,15
S1,RC2,speed,0.0,27
S1,RC2,course,0.0,10
S1,RC2+CZ,range,0.2,15
S1,RC2+CZ,speed,0.25925925925925924,27
S1,RC2+CZ,course,0.2,10
S1,RC2+Doppler,range,0.0,15
S1,RC2+Doppler,speed,0.0,27
S1,RC2+Doppler,course,0.0,10
S1,RC2+CZ+Doppler,range,0.2,15
S1,RC2+CZ+Doppler,speed,0.2222222222222222,27
S1,RC2+CZ+Doppler,course,0.2,10
S2,RC2,range,0.0,15
S2,RC2,speed,0.0,27
S2,RC2,course,0.0,10
S2,RC2+CZ,range,0.9333333333333333,15
S2,RC2+CZ,speed,1.0,27
S2,RC2+CZ,course,1.0,10
S2,RC2+Doppler,range,0.0,15
S2,RC2+Doppler,speed,0.0,27
S2,RC2+Doppler,course,0.0,10
S2,RC2+CZ+Doppler,range,0.9333333333333333,15
S2,RC2+CZ+Doppler,speed,1.0,27
S2,RC2+CZ+Doppler,course,1.0,10
