equation_id,exact_formula_latex,paper_page,symbols,input,output,purpose,implementation_required,confidence
Eq.(1),"p_l(r_i,z_r)=\sqrt{2\pi}e^{-j(\pi/4)}\sum_{m=1}^M \phi_m(z_s)\phi_m(z_r)\frac{\exp\{-j(k_m-j\alpha_m)[r_i+ld\sin\theta_i]\}}{\sqrt{k_m[r_i+ld\sin\theta_i]}}",P2,see SYMBOL_TABLE / lock body,,,HLA element normal-mode field with path r_i+ld sinθ_i,YES,VISUAL_TEXT
Eq.(2),"p_l(r_i,z_r)=\sum_m A_m\exp\{-j(k_m-j\alpha_m)[r_i+ld\sin\theta_i]\},\quad A_m=\sqrt{2\pi}e^{-j\pi/4}\frac{\phi_m(z_s)\phi_m(z_r)}{\sqrt{k_m r_i}}",P3,see SYMBOL_TABLE / lock body,,,far-field r_i+ld sinθ≈r_i; modal amp A_m,YES,VISUAL_TEXT
Eq.(3),"B(\hat\theta_i)=\frac{1}{2L+1}\sum_{l=-L}^{L} e^{j k l d \sin\hat\theta_i}\, p_l(r_i,z_r)",P3,see SYMBOL_TABLE / lock body,,,conventional HLA beamforming weights,YES,VISUAL_TEXT
Eq.(4),"B(\hat\theta_i)=\frac{1}{2L+1}\sum_m A_m e^{-jk_m r_i-\alpha_m r_i}\frac{\sin[(L+1/2)d X_m]}{\sin((d/2)X_m)},\ X_m=-(k_m-j\alpha_m)\sin\theta_i+k\sin\hat\theta_i",P3,see SYMBOL_TABLE / lock body,,,array factor; BEAM_FACTOR_FROM_EQ4 = sin[(L+1/2)dX]/sin((d/2)X),YES,VISUAL_TEXT
Eq.(5),"p(r;z_s,z_r)=\int_0^\infty g(k_r)J_0(k_r r)k_r dk_r,\quad g(k_r)=\int_0^\infty p(r)J_0(k_r r) r dr",P3,see SYMBOL_TABLE / lock body,,,Hankel pair,DOC,VISUAL_TEXT
Eq.(6),"g(k_r;z_s,z_r)\sim\frac{e^{i\pi/4}}{\sqrt{2\pi k_r}}\int_{-\infty}^{+\infty}p(r;z_s,z_r)e^{i k_r r}\sqrt{r}\,dr,\ k_r r\gg1",P3,see SYMBOL_TABLE / lock body,,,FT approx of Hankel,DOC,VISUAL_TEXT
Eq.(7),"g(k_r,z_r)=\frac{e^{i\pi/4}}{\sqrt{2\pi k_r}}\int_{r_0}^{r_0+R} B(r)\,e^{i k_r r}\,S(r)\,dr,\ k_r r_0\gg1",P3,see SYMBOL_TABLE / lock body,,,generalized Hankel on beam output,YES,VISUAL_TEXT
Eq.(8),S(r)=\langle |B(r)|^2\rangle^{-1/2},P3,see SYMBOL_TABLE / lock body,,,data spreading compensation,YES,VISUAL_TEXT
Eq.(9),g\sim\sum_m \frac{\phi_m(z_s)\phi_m(z_r)}{\sqrt{k_r k_m}}\sin b(X_m)\int_{r_0}^{r_0+R}e^{j(k_r-k_m)r-\alpha_m r}dr=\sum_m a_m\frac{\phi_m(z_s)\phi_m(z_r)}{k_r-k_m+j\alpha_m},P3,see SYMBOL_TABLE / lock body,,,closed form after Eq4+Eq7; integral kernel exp[j(kr-km)r - αm r],YES,VISUAL_TEXT
Eq.(10),"a_m=\frac{e^{j[(k_r-k_m)-\alpha_m](r_0+R)}-e^{j[(k_r-k_m)-\alpha_m]r_0}}{j\sqrt{k_r k_m}\,\sin b(X_m)}",P3,see SYMBOL_TABLE / lock body,,,PRINTED a_m — algebra audit flagged,YES,VISUAL_TEXT
