equation_id,status,sinb_note,implementation
Eq.(1),LOCKED_V2,,AS_LOCKED
Eq.(2),LOCKED_V2,,AS_LOCKED
Eq.(3),LOCKED_V2,,AS_LOCKED
Eq.(4),LOCKED_V2,,AS_LOCKED
Eq.(5),LOCKED_V2,,AS_LOCKED
Eq.(6),LOCKED_V2,,AS_LOCKED
Eq.(7),LOCKED_V2,,AS_LOCKED
Eq.(8),LOCKED_V2,,AS_LOCKED
Eq.(9),LOCKED_V2,USE_EQ4_BEAM_FACTOR,AS_LOCKED
Eq.(10),LOCKED_V2,USE_EQ4_BEAM_FACTOR,AS_LOCKED
Eq.(11),LOCKED_V2,,FROM_EQ9_DERIVED_BM
Eq.(12),LOCKED_V2,USE_EQ4_BEAM_FACTOR,FROM_EQ9_DERIVED_BM
Eq.(13),LOCKED_V2,,AS_LOCKED
Eq.(14),LOCKED_V2,,AS_LOCKED
Eq.(15),LOCKED_V2,,AS_LOCKED
Eq.(16),LOCKED_V2,,AS_LOCKED
Eq.(17),LOCKED_V2,,AS_LOCKED
Eq.(18),LOCKED_V2,,AS_LOCKED
Eq.(19),LOCKED_V2,,PRINTED_EQ19 + STANDARD_AR_PSD_CONTROL
Eq.(20),LOCKED_V2,,AS_LOCKED
Eq.(21),LOCKED_V2,,AS_LOCKED
Eq.(22),LOCKED_V2,,AS_LOCKED
Eq.(23),LOCKED_V2,,AS_LOCKED
Eq.(24),LOCKED_V2,,ORDERED_SUBSET + OUR_EXACT_SOLVER_FOR_EQ24
Eq.(25),LOCKED_V2,,ORDERED_SUBSET + OUR_EXACT_SOLVER_FOR_EQ24
Eq.(26),LOCKED_V2,,ORDERED_SUBSET + OUR_EXACT_SOLVER_FOR_EQ24
Eq.(27),LOCKED_V2,,ORDERED_SUBSET + OUR_EXACT_SOLVER_FOR_EQ24
Eq.(28),LOCKED_V2,,AS_LOCKED
Eq.(29),LOCKED_V2,,P=C/C0
Eq.(30),LOCKED_V2,,90%CI
