sigma_theta_deg,theta_rel_deg,case,check,pass,detail
0.05,0.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,0.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,0.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,0.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,0.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.05,0.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.05,0.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.05,0.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
0.05,30.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,30.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,30.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,30.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,30.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.05,30.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.05,30.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.05,30.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
0.05,60.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,60.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,60.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.05,60.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.05,60.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.05,60.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.05,60.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.05,60.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
0.1,0.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,0.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,0.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,0.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,0.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.1,0.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.1,0.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.1,0.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
0.1,30.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,30.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,30.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,30.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,30.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.1,30.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.1,30.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.1,30.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
0.1,60.0,IDEAL_ELEVATION+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,60.0,IDEAL_ELEVATION+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,60.0,HLA_u+delay,n_angdelay_eq_M_plus_Mminus1,True,n=1 expected=1
0.1,60.0,HLA_u+delay,angdelay_requires_M_ge_2,False,M=1<2
0.1,60.0,delay-only,n_delay_obs_eq_Mminus1,True,n=0 expected=0
0.1,60.0,delay-only,rank_delay_le_min_Mminus1_2,True,rank=0
0.1,60.0,delay-only,delay_only_2d_requires_M_ge_3,False,M=1<3 → delay-only 2D CRB FORBIDDEN
0.1,60.0,HLA+delay vs delay-only,fisher_nesting_PSD_and_CRB_monotone,True,n/a
