sigma_theta_deg,source,theta_rel_deg,case,sigma_tau_s,crb_r_m,crb_z_m,corr_rz,cond_F,sv_min,cond_J,sigma_u_rc2_component,sigma_u_array_component,u_error_dominated_by
0.02,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S0,0.0,B_hla_u+delay,0.00023460321322941465,13054007.312749805,52215.252145662416,0.9999996451267494,88065065336.10303,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.02,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S0,30.0,B_hla_u+delay,0.00023460321322941465,15076757.000826309,60306.11441219556,0.9999997339609508,117471283844.38356,5.540206182115375e-10,9629.614207899556,0.00017453292519943294,0.008353894298932244,array_spatial
0.02,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S0,60.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S0,60.0,B_hla_u+delay,0.00023460321322941465,26125094.924710378,104498.74099809333,0.9999999113974788,352721120855.5707,3.1993588928166584e-10,16671.48140956344,0.0003022998940390363,0.008353894298932244,array_spatial
0.02,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,0.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,0.0,B_hla_u+delay,0.0002959190594404395,13054010.052235452,52215.29595763074,0.9999994353876634,55351071820.502495,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.02,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,30.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,30.0,B_hla_u+delay,0.0002959190594404395,15076759.372010993,60306.15234316447,0.9999995767249185,73833601161.21211,5.540206182115375e-10,9629.614207899556,0.00017453292519943294,0.008353894298932244,array_spatial
0.02,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,60.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,60.0,B_hla_u+delay,0.0002959190594404395,26125096.27523569,104498.76281649274,0.9999998590309317,221693842476.2768,3.1993588928166584e-10,16671.48140956344,0.0003022998940390363,0.008353894298932244,array_spatial
0.02,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S2,0.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,0.0,B_hla_u+delay,0.00026257901356076203,13054008.48601739,52215.270886602986,0.9999995554455033,70299414736.33932,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.02,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.02,S2,30.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,30.0,B_hla_u+delay,0.00026257901356076203,15076758.013374675,60306.13062555372,0.9999996667292317,93773419333.52106,5.540206182115375e-10,9629.614207899556,0.00017453292519943294,0.008353894298932244,array_spatial
0.02,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.02,S2,60.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,60.0,B_hla_u+delay,0.00026257901356076203,26125095.49514806,104498.75029919666,0.9999998890063581,281565527076.65753,3.1993588928166584e-10,16671.48140956344,0.0003022998940390363,0.008353894298932244,array_spatial
0.02,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S0,0.0,B_hla_u+delay,0.00023460321322941465,13054007.312749805,52215.252145662416,0.9999996451267494,88065065336.10303,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.05,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S0,30.0,B_hla_u+delay,0.00023460321322941465,15094013.313289706,60375.13850627218,0.999999734568903,117740338386.78366,5.540206182115375e-10,9629.614207899556,0.00043633231299858234,0.008353894298932244,array_spatial
0.05,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S0,60.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S0,60.0,B_hla_u+delay,0.00023460321322941465,26214620.178817376,104856.83620899564,0.9999999120016156,355142771747.0707,3.1993588928166584e-10,16671.48140956344,0.0007557497350975908,0.008353894298932244,array_spatial
0.05,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,0.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S1,0.0,B_hla_u+delay,0.0002959190594404395,13054010.052235452,52215.29595763074,0.9999994353876634,55351071820.502495,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.05,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,30.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S1,30.0,B_hla_u+delay,0.0002959190594404395,15094015.680182533,60375.17638755254,0.9999995776921847,74002712354.40613,5.540206182115375e-10,9629.614207899556,0.00043633231299858234,0.008353894298932244,array_spatial
0.05,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,60.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S1,60.0,B_hla_u+delay,0.0002959190594404395,26214621.53154053,104856.85798012292,0.9999998599921301,223215776635.03445,3.1993588928166584e-10,16671.48140956344,0.0007557497350975908,0.008353894298932244,array_spatial
0.05,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S2,0.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S2,0.0,B_hla_u+delay,0.00026257901356076203,13054008.48601739,52215.270886602986,0.9999995554455033,70299414736.33932,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.05,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S2,30.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S2,30.0,B_hla_u+delay,0.00026257901356076203,15094014.326680088,60375.15470909272,0.9999996674908216,93988201344.69191,5.540206182115375e-10,9629.614207899556,0.00043633231299858234,0.008353894298932244,array_spatial
0.05,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S2,60.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S2,60.0,B_hla_u+delay,0.00026257901356076203,26214620.755541842,104856.84551127389,0.9999998897631692,283498566441.64056,3.1993588928166584e-10,16671.48140956344,0.0007557497350975908,0.008353894298932244,array_spatial
0.05,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.1,S0,0.0,B_hla_u+delay,0.00023460321322941465,13054007.312749805,52215.252145662416,0.9999996451267494,88065065336.10303,6.396560003308854e-10,8341.365524283801,0.0,0.008353894298932244,array_spatial
0.1,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
