case,sigma_theta_deg,theta_rel_deg,M_observable,n_obs,rank,forbidden,crb_r_m,crb_z_m,corr_rz,cond_F,sv_min
IDEAL_ELEVATION+delay,0.05,0.0,1,1,1,True,,,,,
HLA_u+delay,0.05,0.0,1,1,1,True,,,,,
delay-only,0.05,0.0,1,0,0,True,,,,,
IDEAL_ELEVATION+delay,0.05,30.0,1,1,1,True,,,,,
HLA_u+delay,0.05,30.0,1,1,1,True,,,,,
delay-only,0.05,30.0,1,0,0,True,,,,,
IDEAL_ELEVATION+delay,0.05,60.0,1,1,1,True,,,,,
HLA_u+delay,0.05,60.0,1,1,1,True,,,,,
delay-only,0.05,60.0,1,0,0,True,,,,,
IDEAL_ELEVATION+delay,0.1,0.0,1,1,1,True,,,,,
HLA_u+delay,0.1,0.0,1,1,1,True,,,,,
delay-only,0.1,0.0,1,0,0,True,,,,,
IDEAL_ELEVATION+delay,0.1,30.0,1,1,1,True,,,,,
HLA_u+delay,0.1,30.0,1,1,1,True,,,,,
delay-only,0.1,30.0,1,0,0,True,,,,,
IDEAL_ELEVATION+delay,0.1,60.0,1,1,1,True,,,,,
HLA_u+delay,0.1,60.0,1,1,1,True,,,,,
delay-only,0.1,60.0,1,0,0,True,,,,,
