f_hz,zs,L_m,z_hat,fwhm,psl,n_groups,kind,note
201.0,180.0,1200.0,180.0,48.0,0.9996352095307501,1.0,,
201.0,180.0,2400.0,180.0,48.0,0.9996352095307501,1.0,,
201.0,180.0,0.0,,,,,snapshot,no SA aperture
201.0,200.0,1200.0,206.0,10.0,0.30607486457367256,1.0,,
201.0,200.0,2400.0,206.0,10.0,0.30607486457367256,1.0,,
201.0,200.0,0.0,,,,,snapshot,no SA aperture
201.0,220.0,1200.0,150.0,0.0,0.0,0.0,,
201.0,220.0,2400.0,150.0,0.0,0.0,0.0,,
201.0,220.0,0.0,,,,,snapshot,no SA aperture
235.0,180.0,1200.0,150.0,0.0,0.0,0.0,,
235.0,180.0,2400.0,150.0,0.0,0.0,0.0,,
235.0,180.0,0.0,,,,,snapshot,no SA aperture
235.0,200.0,1200.0,200.0,6.0,0.35865435462840306,1.0,,
235.0,200.0,2400.0,200.0,6.0,0.35865435462840306,1.0,,
235.0,200.0,0.0,,,,,snapshot,no SA aperture
235.0,220.0,1200.0,150.0,0.0,0.0,0.0,,
235.0,220.0,2400.0,150.0,0.0,0.0,0.0,,
235.0,220.0,0.0,,,,,snapshot,no SA aperture
283.0,180.0,1200.0,150.0,0.0,0.0,0.0,,
283.0,180.0,2400.0,150.0,0.0,0.0,0.0,,
283.0,180.0,0.0,,,,,snapshot,no SA aperture
283.0,200.0,1200.0,200.0,4.0,0.47703692529174335,1.0,,
283.0,200.0,2400.0,200.0,4.0,0.47703692529174335,1.0,,
283.0,200.0,0.0,,,,,snapshot,no SA aperture
283.0,220.0,1200.0,150.0,0.0,0.0,0.0,,
283.0,220.0,2400.0,150.0,0.0,0.0,0.0,,
283.0,220.0,0.0,,,,,snapshot,no SA aperture
338.0,180.0,1200.0,150.0,0.0,0.0,0.0,,
338.0,180.0,2400.0,150.0,0.0,0.0,0.0,,
338.0,180.0,0.0,,,,,snapshot,no SA aperture
338.0,200.0,1200.0,200.0,6.0,0.43476513114813015,1.0,,
338.0,200.0,2400.0,200.0,4.0,0.2373913043477958,1.0,,
338.0,200.0,0.0,,,,,snapshot,no SA aperture
338.0,220.0,1200.0,150.0,0.0,0.0,0.0,,
338.0,220.0,2400.0,150.0,0.0,0.0,0.0,,
338.0,220.0,0.0,,,,,snapshot,no SA aperture
