equation_id,exact_formula_latex,paper_page,all_symbols,input,output,physical_role,used_in_single_receiver,used_in_VLA,implementation_required
Eq.(1),"g(k_r,z_r)=\frac{e^{i\pi/4}}{\sqrt{2\pi k_r}}\int_{r_1}^{r_2} p(r,z_r)\,e^{i k_r r}\,S(r)\,dr,\quad k_r r_1\gg 1",1679 (PDF p.3),"g(k_r,z_r): SA modal beam output / wavenumber spectrum; k_r: steering wavenumber; z_r: receiver depth; p(r,z_r): block pressure at range r; S(r): spreading-loss shading; r1,r2: aperture ends; e^{i\pi/4}: cylindrical-wave prefactor","p(r_n,z_r) on radial samples, S(r), k_r grid","complex spectrum g(k_r,z_r)",synthetic-aperture modal beamforming (generalized Hankel if S=sqrt(r)),YES (core),"YES (per hydrophone, then summed)",YES
Eq.(2),"S(r)=\langle |p(r,z_r)|^2\rangle^{-1/2}",1679 (PDF p.3),\langle\cdot\rangle: range averaging/smoothing; |p|^2: intensity,pressure intensity vs range,shading S(r) compensating spreading loss (~sqrt(r)),"weighting in Eq.(1) integrand (NUMERATOR of integrand, multiplies p*exp(i k_r r))",YES,replaced by Eq.(8),YES
Eq.(3),"p(r,z_r)=\sum_{m=1}^{M}\sqrt{\frac{2\pi}{k_m r}}\,\phi_m(z_s)\phi_m(z_r)\,e^{-i k_m r-\alpha_m r-i\pi/4}",1679 (PDF p.3),phi_m(z): mode depth function; k_m: mode wavenumber; alpha_m: mode attenuation (>0); z_s: source depth; M: number of modes; spatial phase e^{-i k_m r} (as printed),"modal parameters, r, z_s, z_r",normal-mode pressure (range-independent),propagator used to derive Eq.(4)/(5),derivation / oracle peaks,same,for algebra check and ORACLE mode peaks
Eq.(4),"g(k_r,z_r)\approx\sum_{m=1}^{M}\frac{\phi_m(z_s)\phi_m(z_r)}{\sqrt{k_r k_m}}\int_{r_1}^{r_2} e^{i(k_r-k_m)r-\alpha_m r}\,dr=\sum_{m=1}^{M} a_m\frac{\phi_m(z_s)\phi_m(z_r)}{k_r-k_m-i\alpha_m}",1679 (PDF p.3),a_m=[e^{i(k_r-k_m)r_2-\alpha_m r_2}-e^{i(k_r-k_m)r_1-\alpha_m r_1}]/(i k_m) (AS PRINTED),Eq.(3) into Eq.(1) with S~sqrt(r),spectrum as sum of modal Lorentzians,closed form after substitution; peaks at k_r=k_m,YES (equivalent form),YES,YES - implement FIRST FORM (integral) or Eq.(5) peak form; see algebra check
Eq.(5),"g(k_m,z_r)=b_m\,\phi_m(z_r)",1679 (PDF p.3),"b_m=(2 e^{-\alpha_m r_0})/(\alpha_m k_m)\sinh[(\alpha_m \Delta R)/2]\,\phi_m(z_s); r_0=(r_2+r_1)/2; \Delta R=r_2-r_1=vT",spectrum value at modal peak,modal peak amplitude b_m phi_m(z_r),peak relation; b_m carries z_s through phi_m(z_s) and range factors,YES (feeds Eq.6),YES (Eq.9 with delta_m),YES
Eq.(6),"D(z)=\left|\sum_{m=1}^{M}\phi_m(z)\,\frac{g(k_m,z_r)}{\bar{\phi}_m(z_r)}\right|^2,\quad \bar{\phi}_m^{-1}(z_r)=\frac{\phi_m(z_r)}{\phi_m^2(z_r)+\Delta^2}",1679 (PDF p.3),D(z): source-depth ambiguity; \bar{\phi}_m^{-1}: regularized inverse mode depth function at z_r; \Delta: empirical regularizer (order 0.1*max|phi_m|),"g(k_m,z_r) at identified modal peaks; nominal phi_m(.)",depth ambiguity D(z) on search grid,single-hydrophone source-depth estimator (Bartlett class),YES (core),NO (uses Eq.9 instead),YES
Eq.(7),\tilde{\theta}(n+1)=\tilde{\theta}(n)+K_1 u(n)+K_2\sum_{m=0}^{n} u(m),1681 (PDF p.5),theta~(n): PLL output phase; u(m): phase error data-oscillator; K1=0.001; K2=0.0001 (2nd-order PLL),narrowband complex time series,tracked instantaneous phase theta~(t),remove fast random phase (jitter + medium),YES for real data,YES for real data,YES for real-data path; optional for pure simulation
Eq.(8),"S(r)=\left\langle \sum_{j=1}^{N}|p(r,z_j)|^2\,\Delta z\right\rangle^{-1/2}",1683 (PDF p.7),z_j: VLA hydrophone depths; \Delta z: phone spacing; N: #phones,VLA pressure vs range,depth-integrated intensity shading,VLA replacement of Eq.(2); S~sqrt(r) ignoring alpha_m differences,NO,YES,for VLA path only
Eq.(9),"D(z_j)=\left|\sum_{m=1}^{M} g(k_m,z_j)\right|^2=\left|\sum_{m=1}^{M}\phi_m(z_j)\phi_m(z_s)\delta_m\right|^2,\quad j=1,\ldots,N",1683 (PDF p.7),delta_m=(2 e^{-\alpha_m r_0})/(\alpha_m k_m)\sinh[(\alpha_m \Delta R)/2] (mode shading coefficient); note delta_m = b_m/phi_m(z_s),"per-phone SA spectra at modal peaks g(k_m,z_j)",beam power vs hydrophone depth = depth ambiguity,VLA model-independent depth estimation (no phi_m needed experimentally),NO,YES,for VLA path only
Eq.(10),"D_{\mathrm{MMP}}(r=r_s,z)=\left|\sum_{m=1}^{M}\phi_m(z)\phi_m(z_s)\delta_m'\right|^2,\quad \delta_m'\equiv e^{-2\alpha_m r_s}/k_m",1684 (PDF p.8),"r_s: true source range; delta_m': MMP shading; related D_MMP(r,z)=(r/2pi)|sum[A_m^{rplc}]^* A_m^{data}|^2",matched-mode amplitudes,MMP range-depth ambiguity at r=r_s,relation to matched-mode processing (comparison only),NO,comparison,NO for Yang SA depth (documentation only)
